"","RunIdentifier","eventID","principalInvestigator","samplingProtocol","dayDeployed","dayCollected","yearDeployed","yearCollected","lengthDeployment","collectorList","continentOcean","country","county","locality","island","islandGroup","locationID","decimalLatitude","decimalLongitude","DMSLatitude","DMSLongitude","habitat","fullUnit","unitNotes","unitAttachment","unitRetrievalBin","unitRetrievalFilteredWater","unitRetrievalBubbler","bcid","uniqueLatLong","materialSampleID","sampleSizeFractionation","institutionCode","institutionID","datasetName","fractionStorageBuffer","fractionNotes","homogenisation","homogenisationSample","homogenisationMethod","sampleExtractionKitManufacturer","sampleExtractionKit","sampleExtractCleanUp","sampleExtractCleanUpKitManufacturer","sampleExtractCleanUpKit","metabarcodingGeneticMarker","ampliconPrimerForward","ampliconPrimerReverse","ampliconPrimerRef","ampliconPCRTriplicates","ampliconPCRProtocol","ampliconPCRPolymerase","ampliconPCRCycles","ampliconAnnealingTemp","ampliconPCRNotes","ampliconPCRTriplicateMerged","sequencingTriplicates","sample_name"
"HAW.24C.BS","Run10","Ransome_HAW24_HAW24C_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Hawaii","Hawaii","Hawaiian Islands","HAW24",19.03821667,-155.88255,"19° 02' 17.58"" N","155° 52' 57.18"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_24C","19.03821667 -155.88255","Ransome_HAW24_HAW24C_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","HAW.24C.BS"
"HR.01.BS","Run10","Ransome_HR01_HR01_120601_130601","Ransome","ARMS","01/06/2012","01/06/2013",2012,2013,12,"","Pacific","Indonesia","","Horse Reef","","Bali","HR01",-8.12787,114.65562,"08° 07' 40.33"" S","114° 39' 20.23"" E","","","Rev B","Benthos","Mesh crate","Yes","Yes","","-8.12787 114.65562","Ransome_HR01_HR01_120601_130601_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","HR.01.BS"
"KAU.2A.BS","Run10","Ransome_KAU02_KAU02A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Kauai","Kauai","Hawaiian Islands","KAU02",22.16408333,-159.2989167,"22° 09' 50.69"" N","159° 17' 56.10"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_KAU_02A","22.16408333 -159.2989167","Ransome_KAU02_KAU02A_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","KAU.2A.BS"
"KAU.6A.BS","Run10","Ransome_KAU06_KAU06A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Kauai","Kauai","Hawaiian Islands","KAU06",21.88966667,-159.6090167,"21° 53' 22.80"" N","159° 36' 32.46"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_KAU_06A","21.88966667 -159.6090167","Ransome_KAU06_KAU06A_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","KAU.6A.BS"
"KAU.8A.BS","Run10","Ransome_KAU08_KAU08A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Kauai","Kauai","Hawaiian Islands","KAU08",22.16686667,-159.6802167,"22° 10' 00.72"" N","159° 40' 48.78"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_KAU_08A","22.16686667 -159.6802167","Ransome_KAU08_KAU08A_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","KAU.8A.BS"
"LIS.10..BS","Run10","Ransome_LIS10_LIS10B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Lisianski","Lisianski","Northwest Hawaiian Islands","LIS10",25.944517,-173.9535,"25° 56' 40.26"" N","173° 57' 12.59"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2NWHI_2013_LIS_10B","25.944517 -173.9535","Ransome_LIS10_LIS10B_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","LIS.10..BS"
"LIS.14.BS","Run10","Ransome_LIS14_LIS14B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Lisianski","Lisianski","Northwest Hawaiian Islands","LIS14",26.0782,-173.997033,"26° 04' 41.51"" N","173° 59' 49.31"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2NWHI_2013_LIS_14B","26.0782 -173.997033","Ransome_LIS14_LIS14B_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","LIS.14.BS"
"MAU.4A.BS","Run10","Ransome_MAU04_MAU04A_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",2011,2014,36,"Molly Timmers","Pacific","Northern Mariana Islands","","Northern Mariana Islands","Maug","Northern Mariana Islands","MAU04",20.01393333,145.2343167,"20° 00' 50.15"" N","145° 14' 03.54"" E","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MI_2014_MAU_04A","20.01393333 145.2343167","Ransome_MAU04_MAU04A_110101_140101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","MAU.4A.BS"
"MOO.21.BS","Run10","Ransome_MOO01_MOO21_120201_140117","Ransome","ARMS","01/02/2012","17/01/2014",2012,2014,23,"Chris Meyer, Emma Ransome, Molly Timmers","Pacific","French Polynesia","","ARMS West site - north shore","Moorea Island","Society Islands","MOO01",-17.47849,-149.84766,"17° 28' 42.56"" S","149° 50' 51.57"" W","outer reef slope","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FFV22014_ARMS_MOO_021","-17.47849 -149.84766","Ransome_MOO01_MOO21_120201_140117_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","MOO.21.BS"
"MOO.27.BS","Run10","Ransome_MOO03_MOO27_120201_140121","Ransome","ARMS","01/02/2012","21/01/2014",2012,2014,23,"Chris Meyer, Emma Ransome, Molly Timmers","Pacific","French Polynesia","","ARMS East site - north shore","Moorea Island","Society Islands","MOO03",-17.47638,-149.83159,"17° 28' 34.96"" S","149° 49' 53.72"" W","outer reef slope","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FFV22014_ARMS_MOO_027","-17.47638 -149.83159","Ransome_MOO03_MOO27_120201_140121_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","MOO.27.BS"
"OAH.12.BS","Run10","Ransome_OAH12_OAH12B_100101_2013","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"","Pacific","USA","","Oahu","Oahu","Hawaiian Islands","OAH12",21.31953333,-157.6539167,"21° 19' 10.31"" N","157° 39' 14.10"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_OAH_12B","21.31953333 -157.6539167","Ransome_OAH12_OAH12B_100101_2013_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","OAH.12.BS"
"PAG.01.BS","Run10","Ransome_PAG01_PAG01C_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",2011,2014,36,"Molly Timmers","Pacific","Northern Mariana Islands","","Northern Mariana Islands","Pagan","Northern Mariana Islands","PAG01",18.10722,145.78577,"18° 06' 25.99"" N","145° 47' 08.77"" E","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MI_2014_PAG_01C","18.10722 145.78577","Ransome_PAG01_PAG01C_110101_140101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","PAG.01.BS"
"PAG.05.BS","Run10","Ransome_PAG05_PAG05C_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",2011,2014,36,"Molly Timmers","Pacific","Northern Mariana Islands","","Northern Mariana Islands","Pagan","Northern Mariana Islands","PAG05",18.11947,145.75555,"18° 07' 10.09"" N","145° 45' 19.97"" E","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MI_2014_PAG_05C","18.11947 145.75555","Ransome_PAG05_PAG05C_110101_140101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","PAG.05.BS"
"PHR.26.BS","Run10","Ransome_PHR26_PHR26A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Pearl and Hermes","Pearl and Hermes","Northwest Hawaiian Islands","PHR26",27.785833,-175.780283,"27° 47' 08.99"" N","175° 46' 49.01"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2NWHI_2013_PHR_26A","27.785833 -175.780283","Ransome_PHR26_PHR26A_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","PHR.26.BS"
"PHR.33A.BS","Run10","Ransome_PHR33_PHR33A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Pearl and Hermes","Pearl and Hermes","Northwest Hawaiian Islands","PHR33",27.785467,-175.82375,"27° 47' 07.68"" N","175° 49' 25.49"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2NWHI_2013_PHR_33A","27.785467 -175.82375","Ransome_PHR33_PHR33A_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","PHR.33A.BS"
"PHR.33B.BS","Run10","Ransome_PHR33_PHR33B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Pearl and Hermes","Pearl and Hermes","Northwest Hawaiian Islands","PHR33",27.785467,-175.82375,"27° 47' 07.68"" N","175° 49' 25.49"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2NWHI_2013_PHR_33B","27.785467 -175.82375","Ransome_PHR33_PHR33B_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","PHR.33B.BS"
"PHR.33C.BS","Run10","Ransome_PHR33_PHR33C_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Pearl and Hermes","Pearl and Hermes","Northwest Hawaiian Islands","PHR33",27.785467,-175.82375,"27° 47' 07.68"" N","175° 49' 25.49"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2NWHI_2013_PHR_33C","27.785467 -175.82375","Ransome_PHR33_PHR33C_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","PHR.33C.BS"
"PHR.42.BS","Run10","Ransome_PHR42_PHR42A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Pearl and Hermes","Pearl and Hermes","Northwest Hawaiian Islands","PHR42",27.753133,-175.948767,"27° 45' 11.27"" N","175° 56' 55.56"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2NWHI_2013_PHR_42A","27.753133 -175.948767","Ransome_PHR42_PHR42A_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","PHR.42.BS"
